,action,effectiveness
2846,Thicken earth wire to reduce incidental bird mortality,Unknown effectiveness (limited evidence)
2847,Thin trees after wildfire,Trade-off between benefit and harms
2848,Thin trees by girdling (cutting rings around tree trunks),Unknown effectiveness (limited evidence)
2849,Thin trees to reduce wildfire risk,Likely to be beneficial
2850,Thin trees within forest,Likely to be beneficial
2851,Thin trees within forest and woodland,Likely to be beneficial
2852,Thin trees within forests,Awaiting assessment
2853,Thin trees within forests,Trade-off between benefit and harms
2854,Thin trees within forests,Likely to be ineffective or harmful
2855,Thin trees within forests,No evidence found (no assessment)
2856,Thin trees within forests: effects on mature trees,Trade-off between benefit and harms
2857,Thin trees within forests: effects on non-vascular plants,Likely to be ineffective or harmful
2858,Thin trees within forests: effects on understory plants,Likely to be beneficial
2859,Thin trees within forests: effects on young trees,Likely to be beneficial
2860,Thin vegetation to prevent wild fires,No evidence found (no assessment)
2861,Thin vegetation to prevent wild fires,No evidence found (no assessment)
2862,Tow buoys behind longlining boats to reduce seabird bycatch,No evidence found (no assessment)
2863,Train and support local staff to help reduce persecution of mammals,Likely to be beneficial
2864,Train arborists and forestry operatives to identify potential bat roosts,No evidence found (no assessment)
2865,Train captive-bred mammals to avoid predators,Unknown effectiveness (limited evidence)
2866,Train langur monkeys to deter rhesus macaques,No evidence found (no assessment)
2867,Train mammals to avoid problematic species,Unknown effectiveness (limited evidence)
2868,Train tourist guides to minimize disturbance and promote bat conservation,No evidence found (no assessment)
2869,Train tourist guides to minimize disturbance and promote marine and freshwater mammal conservation,Unknown effectiveness (limited evidence)
2870,Train vessel operators on appropriate avoidance techniques to reduce collisions,No evidence found (no assessment)
2871,Transfer plant material from intact grassland alongside seeding/planting,Evidence not assessed
2872,Translocate (capture & release) wild primates from abundant population areas to non-inhabited environments,Unknown effectiveness (limited evidence)
2873,Translocate (capture & release) wild primates from development sites to natural habitat elsewhere,Unknown effectiveness (limited evidence)
2874,Translocate adult or juvenile reptiles: Crocodilians,Awaiting assessment
2875,Translocate adult or juvenile reptiles: Lizards,Awaiting assessment
2876,Translocate adult or juvenile reptiles: Sea turtles,Awaiting assessment
2877,Translocate adult or juvenile reptiles: Snakes,Awaiting assessment
2878,"Translocate adult or juvenile reptiles: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment
2879,Translocate adult or juvenile reptiles: Tuatara,Awaiting assessment
2880,Translocate amphibians,Likely to be beneficial
2881,Translocate animals from source populations subject to similar climatic conditions,Unknown effectiveness (limited evidence)
2882,Translocate auks,Unknown effectiveness (limited evidence)
2883,Translocate bats,Likely to be ineffective or harmful
2884,Translocate birds away from fish farms,Unknown effectiveness (limited evidence)
2885,Translocate bumblebee colonies in nest boxes,Awaiting assessment
2886,Translocate crop raiders away from crops (e.g. elephants) to reduce human-wildlife conflict,Trade-off between benefit and harms
2887,Translocate frogs,Trade-off between benefit and harms
2888,Translocate gamebirds,Trade-off between benefit and harms
2889,Translocate great crested newts,Likely to be beneficial
2890,Translocate habitat-forming (biogenic) species  - Translocate reef-forming corals,Likely to be beneficial
2891,Translocate habitat-forming (biogenic) species - Translocate reef- or bed-forming molluscs,Unknown effectiveness (limited evidence)
2892,"Translocate herons, storks and ibises",Unknown effectiveness (limited evidence)
2893,Translocate individuals,Beneficial
2894,Translocate mammals away from aquaculture systems to reduce human-wildlife conflict,Likely to be ineffective or harmful
2895,Translocate mammals away from site contaminated by oil spill,Unknown effectiveness (limited evidence)
2896,Translocate mammals away from sites of proposed energy developments,Unknown effectiveness (limited evidence)
2897,Translocate mammals that have habituated to humans (e.g. bears),Trade-off between benefit and harms
2898,Translocate mammals to reduce overpopulation,Trade-off between benefit and harms
2899,Translocate marine and freshwater mammal species before onset of impactful activities,No evidence found (no assessment)
2900,Translocate marine and freshwater mammals to re-establish or boost native populations,Likely to be beneficial
2901,Translocate megapodes,Unknown effectiveness (limited evidence)
2902,Translocate natterjack toads,Likely to be beneficial
2903,Translocate nests to avoid disturbance,Unknown effectiveness (limited evidence)
2904,Translocate or temporarily bring marine and freshwater mammals into captivity to reduce exposure to disease,No evidence found (no assessment)
2905,Translocate owls,Unknown effectiveness (limited evidence)
2906,Translocate parrots,Likely to be beneficial
2907,Translocate pelicans,Likely to be beneficial
2908,Translocate petrels and shearwaters,Likely to be beneficial
2909,Translocate predators away from livestock to reduce human-wildlife conflict,Trade-off between benefit and harms
2910,Translocate predators for ecosystem restoration,Likely to be beneficial
2911,Translocate problem mammals away from residential areas (e.g. habituated bears) to reduce human-wildlife conflict,Likely to be ineffective or harmful
2912,Translocate problem reptiles,Awaiting assessment
2913,Translocate rails,Likely to be beneficial
2914,Translocate raptors,Beneficial
2915,Translocate reptiles away from threats: Crocodilians,Awaiting assessment
2916,Translocate reptiles away from threats: Sea turtles,No evidence found (no assessment)
2917,Translocate reptiles away from threats: Snakes and lizards,Awaiting assessment
2918,"Translocate reptiles away from threats: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment
2919,Translocate reptiles away from threats: Tuatara,Awaiting assessment
2920,Translocate salamanders (including newts),Likely to be beneficial
2921,Translocate solitary bees,Awaiting assessment
2922,Translocate songbirds,Likely to be beneficial
2923,Translocate species - Translocate crustaceans,Unknown effectiveness (limited evidence)
2924,Translocate species - Translocate molluscs,Likely to be beneficial
2925,Translocate species - Translocate worms,Unknown effectiveness (limited evidence)
2926,Translocate to re-establish or boost populations in native range,Beneficial
2927,Translocate toads,Likely to be beneficial
2928,Translocate wildfowl,Likely to be beneficial
2929,Translocate wood frogs,Likely to be beneficial
2930,Translocate woodpeckers,Likely to be beneficial
2931,Transplant captive-bred or hatchery-reared habitat-forming (biogenic) species,No evidence found (no assessment)
2932,Transplant captive-bred or hatchery-reared individuals of habitat-forming (biogenic) species that are resistant to climate change,No evidence found (no assessment)
2933,Transplant or replace blocks of vegetation: brackish/salt marshes,Unknown effectiveness (limited evidence)
2934,Transplant or replace blocks of vegetation: freshwater marshes,Likely to be beneficial
2935,Transplant or replace wetland soil: brackish/saline swamps,No evidence found (no assessment)
2936,Transplant or replace wetland soil: brackish/salt marshes,No evidence found (no assessment)
2937,Transplant or replace wetland soil: freshwater marshes,Likely to be beneficial
2938,Transplant or replace wetland soil: freshwater swamps,No evidence found (no assessment)
2939,Transplant or seed organisms onto intertidal artificial structures,Awaiting assessment
2940,Transplant or seed organisms onto subtidal artificial structures,Awaiting assessment
2941,Transplant trees,No evidence found (no assessment)
2942,Transplant wetland soil before/after planting non-woody plants: brackish/saline wetlands,No evidence found (no assessment)
2943,Transplant wetland soil before/after planting non-woody plants: freshwater wetlands,Unknown effectiveness (limited evidence)
2944,Transplant wetland soil before/after planting trees/shrubs: brackish/saline wetlands,No evidence found (no assessment)
2945,Transplant wetland soil before/after planting trees/shrubs: freshwater wetlands,No evidence found (no assessment)
2946,Transplant/release captive-bred or hatchery-reared species - Transplant/release crustaceans,Likely to be beneficial
2947,Transplant/release captive-bred or hatchery-reared species - Transplant/release molluscs,Likely to be beneficial
2948,Transplant/release captive-bred or hatchery-reared species in predator exclusion cages,Unknown effectiveness (limited evidence)
2949,Transplant/release climate change-resistant captive-bred or hatchery-reared individuals to re-establish or boost native populations,No evidence found (no assessment)
2950,Transplant/translocate ‘bioremediating’ species,No evidence found (no assessment)
2951,Treat amphibians with chytridiomycosis in the wild or pre-release,Unknown effectiveness (limited evidence)
2952,Treat ballast water before exchange,No evidence found (no assessment)
2953,Treat ballast water before release,No evidence found (no assessment)
2954,Treat bat hibernacula environments to reduce the white-nose syndrome pathogen reservoir,No evidence found (no assessment)
2955,Treat bats for infection with white-nose syndrome,Unknown effectiveness (limited evidence)
2956,Treat disease in wild mammals,Unknown effectiveness (limited evidence)
2957,Treat disease in wild marine and freshwater mammals,No evidence found (no assessment)
2958,Treat mammals to reduce conflict caused by disease transmission to humans,Unknown effectiveness (limited evidence)
2959,Treat seeds of non-woody plants with chemicals before sowing: brackish/saline wetlands,No evidence found (no assessment)
2960,Treat seeds of non-woody plants with chemicals before sowing: freshwater wetlands,Likely to be beneficial
2961,Treat sick/injured animals,Unknown effectiveness (limited evidence)
2962,Treat tree/shrub seeds with chemicals before sowing: brackish/saline wetlands,No evidence found (no assessment)
2963,Treat tree/shrub seeds with chemicals before sowing: freshwater wetlands,Unknown effectiveness (limited evidence)
2964,Treat wastewater from intensive livestock holdings,No evidence found (no assessment)
2965,Treat wastewater from intensive livestock holdings,No evidence found (no assessment)
2966,Treat wastewater from intensive livestock holdings,No evidence found (no assessment)
2967,Treat wetlands with herbicide,Likely to be ineffective or harmful
2968,Tree pollarding and tree surgery,No evidence found (no assessment)
2969,Turn deck lights off during night-time setting of longlines to reduce bycatch,Unknown effectiveness (limited evidence)
2970,Turn off lights to reduce mortality from artificial lights,Unknown effectiveness (limited evidence)
2971,"Undersow spring cereals, with clover for example",Likely to be beneficial
2972,"Undersow spring cereals, with clover for example",Likely to be beneficial
2973,Use 'set-aside' areas of natural habitat for primate protection within mining area,No evidence found (no assessment)
2974,Use 'set-asides' for primate protection within logging area,No evidence found (no assessment)
2975,Use 'warm white' rather than 'cool' LED lights,No evidence found (no assessment)
2976,Use ‘anti-predator training’ to improve survival after release,Unknown effectiveness (limited evidence)
2977,Use ‘bioremediating’ organisms to remove or neutralize pollutants,No evidence found (no assessment)
2978,Use ‘bioremediating’ organisms to remove or neutralize pollutants,No evidence found (no assessment)
2979,Use ‘bracken bruiser’ to control bracken,Unknown effectiveness (limited evidence)
2980,Use ‘cat curfews’ to reduce predation,No evidence found (no assessment)
2981,Use ‘flying training’ before release,Unknown effectiveness (limited evidence)
2982,Use ‘mammal-safe’ nets to capture and release mammals trapped in fishing structures,Unknown effectiveness (limited evidence)
2983,Use ‘mosaic management’,Unknown effectiveness (limited evidence)
2984,Use ‘mussel socks’ to prevent birds from attacking shellfish,Likely to be beneficial
2985,Use ‘shock collars’ to deter crop damage by mammals to reduce human-wildlife conflict,Unknown effectiveness (limited evidence)
2986,Use ‘soft start’ procedures to deter marine and freshwater mammals to reduce noise exposure,Unknown effectiveness (limited evidence)
2987,Use 1% barley in wheat crops for corn buntings,No evidence found (no assessment)
2988,Use 1% barley in wheat crops for corn buntings,No evidence found (no assessment)
2989,Use a different bait type,Awaiting assessment
2990,Use a different bait type: Crocodilians,No evidence found (no assessment)
2991,Use a different bait type: Sea turtles,Awaiting assessment
2992,Use a different bait type: Snakes & lizards,No evidence found (no assessment)
2993,"Use a different bait type: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment
2994,Use a different design or configuration of size-sorting escape grid/system in trawl fishing gear (bottom and mid-water),Awaiting assessment
2995,Use a different hook type,Awaiting assessment
2996,Use a different method to sort or bring catch onboard,Awaiting assessment
2997,Use a different technique when laying and burying cables and pipelines,No evidence found (no assessment)
2998,Use a different twine type in a trawl net,Awaiting assessment
2999,Use a different type of anchor,No evidence found (no assessment)
3000,Use a larger codend mesh size on trawl nets,Likely to be beneficial
3001,Use a larger mesh size,Awaiting assessment
3002,Use a larger mesh size for fishing trap-nets,Unknown effectiveness (limited evidence)
3003,Use a larger mesh size on trammel nets,Unknown effectiveness (limited evidence)
3004,Use a line shooter to reduce seabird bycatch,Likely to be ineffective or harmful
3005,Use a midwater/semi-pelagic trawl instead of bottom/demersal trawl,Likely to be beneficial
3006,Use a pulse trawl instead of a beam trawl,Unknown effectiveness (limited evidence)
3007,Use a separator trawl,Awaiting assessment
3008,Use a smaller beam trawl,Unknown effectiveness (limited evidence)
3009,Use a smaller mesh size for fishing nets,No evidence found (no assessment)
3010,Use a sonic scarer when setting longlines to reduce seabird bycatch,Unknown effectiveness (limited evidence)
3011,Use a square mesh instead of a diamond mesh codend in a trawl net,Awaiting assessment
3012,Use a square mesh instead of a diamond mesh codend on trawl nets,Unknown effectiveness (limited evidence)
3013,Use a topless (coverless) trawl,Awaiting assessment
3014,Use a water cannon when setting longlines to reduce seabird bycatch,No evidence found (no assessment)
3015,Use acoustic alerts on gillnets to reduce seabird bycatch,Unknown effectiveness (limited evidence)
3016,Use acoustic decoys to divert mammals away from fishing gear,Unknown effectiveness (limited evidence)
3017,Use acoustic devices at aquaculture systems,Trade-off between benefit and harms
3018,Use acoustic devices at cooling water intake structures,No evidence found (no assessment)
3019,Use acoustic devices at renewable energy sites,No evidence found (no assessment)
3020,Use acoustic devices on fishing gear,Trade-off between benefit and harms
3021,Use acoustic devices on fishing vessels,Trade-off between benefit and harms
3022,Use acoustic devices on moorings,Trade-off between benefit and harms
3023,Use acoustic devices on moving vessels,No evidence found (no assessment)
3024,Use acoustic devices to deter marine and freshwater mammals from an area to reduce noise exposure,Trade-off between benefit and harms
3025,Use acoustically reflective fishing gear materials,Likely to be beneficial
3026,Use alerts to reduce grey partridge by-catch during shoots,No evidence found (no assessment)
3027,Use alley cropping,Awaiting assessment
3028,Use alley cropping,Unknown effectiveness (limited evidence)
3029,Use alternative de-icers on roads,No evidence found (no assessment)
3030,Use alternative means of getting mussel seeds rather than dredging from natural mussel beds,No evidence found (no assessment)
3031,Use alternative methods instead of airguns for seismic surveys,No evidence found (no assessment)
3032,Use amphibians sustainably,No evidence found (no assessment)
3033,Use an alternative commercial fishing method,Awaiting assessment
3034,Use an alternative method to commercially harvest plankton,Awaiting assessment
3035,Use an alternative oil source: plant-based,Awaiting assessment
3036,Use an alternative protein source: animal,Awaiting assessment
3037,Use an alternative protein source: bacteria,Awaiting assessment
3038,Use an alternative protein source: krill,Awaiting assessment
3039,Use an alternative protein source: plant-based,Awaiting assessment
3040,Use an alternative protein source: yeast,Awaiting assessment
3041,Use an electric (pulse) trawl,Awaiting assessment
3042,Use an electric current to deter mammals from fishing gear,Unknown effectiveness (limited evidence)
3043,Use an otter trawl instead of a beam trawl,Unknown effectiveness (limited evidence)
3044,Use an otter trawl instead of a dredge,Unknown effectiveness (limited evidence)
3045,Use antibacterial treatment to reduce chytridiomycosis infection,Unlikely to be beneficial
3046,Use antifouling coatings on the surfaces of vessels and anthropogenic structures,No evidence found (no assessment)
3047,Use antifungal skin bacteria or peptides to reduce chytridiomycosis infection,Unlikely to be beneficial
3048,Use antifungal treatment to reduce chytridiomycosis infection,Trade-off between benefit and harms
3049,Use appropriate populations to source released populations,Unknown effectiveness (limited evidence)
3050,Use artificial barriers to block pollution,No evidence found (no assessment)
3051,Use artificial barriers to prevent pollution entering peatlands,No evidence found (no assessment)
3052,Use artificial fertilization in captive breeding,Trade-off between benefit and harms
3053,Use artificial insemination,Likely to be beneficial
3054,Use artificial insemination,Awaiting assessment
3055,Use artificial insemination in captive breeding,Unknown effectiveness (limited evidence)
3056,Use artificial light on fishing gear,Awaiting assessment
3057,Use artificial nests that discourage predation,Likely to be beneficial
3058,Use artificial visual and auditory stimuli to induce breeding in wild populations,Unknown effectiveness (limited evidence)
3059,Use automated detection systems to prevent flood gates and locks from closing when mammals are present,No evidence found (no assessment)
3060,Use aversive conditioning to reduce nest predation by avian predators,Unlikely to be beneficial
3061,Use aversive conditioning to reduce nest predation by mammalian predators,Unlikely to be beneficial
3062,Use bait throwers to reduce seabird bycatch,Unknown effectiveness (limited evidence)
3063,Use baited lines instead of nets for shark control,Likely to be beneficial
3064,Use barriers or vegetation to reduce artificial light,Awaiting assessment
3065,Use barriers to keep livestock off ungrazed brackish/saline swamps,No evidence found (no assessment)
3066,Use barriers to keep livestock off ungrazed brackish/salt marshes,Unknown effectiveness (limited evidence)
3067,Use barriers to keep livestock off ungrazed freshwater marshes,No evidence found (no assessment)
3068,Use barriers to keep livestock off ungrazed freshwater swamps,No evidence found (no assessment)
3069,Use barriers to keep livestock off ungrazed peatlands,No evidence found (no assessment)
3070,Use bees to deter crop damage by mammals (e.g. elephants) to reduce human-wildlife conflict,Likely to be beneficial
3071,Use bindings to keep trawl nets closed until they have sunk below the water surface,No evidence found (no assessment)
3072,Use bindings to keep trawl nets closed until they have sunk below the water surface,No evidence found (no assessment)
3073,Use biocides or other chemicals to control invasive or problematic species,No evidence found (no assessment)
3074,"Use biocides or other chemicals to control non-native, invasive or other problematic species",No evidence found (no assessment)
3075,Use biodegradable fishing gear,No evidence found (no assessment)
3076,Use biodegradable materials to construct fishing gear to prevent entanglement of reptiles in lost or abandoned gear,No evidence found (no assessment)
3077,Use biodegradable oil in farming machinery,No evidence found (no assessment)
3078,Use biodegradable panels in fishing pots,No evidence found (no assessment)
3079,Use biological control to manage invasive or problematic species,No evidence found (no assessment)
3080,"Use biological control to manage non-native, invasive or other problematic species populations",No evidence found (no assessment)
3081,Use biological control to reduce the number of problematic invertebrates,No evidence found (no assessment)
3082,Use bird exclusion devices (BEDs) such as ‘Brickle curtains’ to reduce seabird mortality when hauling longlines,Unknown effectiveness (limited evidence)
3083,Use brash mats during harvesting to avoid soil compaction,No evidence found (no assessment)
3084,Use buffer zones to reduce the impact of invasive plant control,Unknown effectiveness (limited evidence)
3085,Use cables and pipelines of smaller width,No evidence found (no assessment)
3086,Use campaigns and public information to improve behaviour towards mammals and reduce threats,Unknown effectiveness (limited evidence)
3087,Use captive breeding to increase or maintain populations of bustards,Unknown effectiveness (limited evidence)
3088,Use captive breeding to increase or maintain populations of cranes,Unknown effectiveness (limited evidence)
3089,Use captive breeding to increase or maintain populations of pigeons,Unknown effectiveness (limited evidence)
3090,Use captive breeding to increase or maintain populations of rails,Unknown effectiveness (limited evidence)
3091,Use captive breeding to increase or maintain populations of raptors,Likely to be beneficial
3092,Use captive breeding to increase or maintain populations of seabirds,Unknown effectiveness (limited evidence)
3093,Use captive breeding to increase or maintain populations of songbirds,Unknown effectiveness (limited evidence)
3094,Use captive breeding to increase or maintain populations of storks and ibises,Unknown effectiveness (limited evidence)
3095,Use captive breeding to increase or maintain populations of tinamous,Unknown effectiveness (limited evidence)
3096,Use catch and hook protection devices,No evidence found (no assessment)
3097,Use catch and hook protection devices on fishing gear,Likely to be beneficial
3098,Use chemical repellents along roads or railways,Unlikely to be beneficial
3099,Use chemicals to attract natural enemies,Likely to be beneficial
3100,Use chili to deter crop damage by mammals to reduce human-wildlife conflict,Likely to be beneficial
3101,Use circle hooks instead of J-hooks,Awaiting assessment
3102,Use citizen surveillance to report illegal fishing,Awaiting assessment
3103,Use clearcutting to increase understory diversity,Trade-off between benefit and harms
3104,Use collar-mounted devices on cats to reduce predation of bats,No evidence found (no assessment)
3105,Use collar-mounted devices to reduce predation,Unknown effectiveness (limited evidence)
3106,Use collar-mounted devices to reduce predation by domestic animals,Beneficial
3107,Use collar-mounted devices to reduce predation by domestic animals,Awaiting assessment
3108,Use coloured baits to reduce accidental mortality during predator control,Unknown effectiveness (limited evidence)
3109,Use conditioned taste aversion to prevent carnivorous reptiles from eating toxic invasive cane toads,Awaiting assessment
3110,Use conditioned taste aversion to prevent non-target species from entering traps,Likely to be beneficial
3111,Use conditioned taste aversion to reduce human-wildlife conflict in non-residential sites,Likely to be beneficial
3112,Use cooling towers instead of once-through cooling systems,No evidence found (no assessment)
3113,Use copper strips to exclude snails from nests,Unknown effectiveness (limited evidence)
3114,Use covers/barriers to control problematic plants,No evidence found (no assessment)
3115,Use covers/barriers to control problematic plants: brackish/saline swamps,No evidence found (no assessment)
3116,Use covers/barriers to control problematic plants: brackish/salt marshes,No evidence found (no assessment)
3117,Use covers/barriers to control problematic plants: freshwater marshes,Unknown effectiveness (limited evidence)
3118,Use covers/barriers to control problematic plants: freshwater swamps,No evidence found (no assessment)
3119,Use crop rotation,Beneficial
3120,Use crop rotation in potato farming systems,Trade-off between benefit and harms
3121,Use cutting to control problematic large trees/shrubs,Unknown effectiveness (limited evidence)
3122,Use cutting to control problematic large trees/shrubs: brackish/saline swamps,No evidence found (no assessment)
3123,Use cutting to control problematic large trees/shrubs: brackish/salt marshes,Unknown effectiveness (limited evidence)
3124,Use cutting to control problematic large trees/shrubs: freshwater marshes,Unknown effectiveness (limited evidence)
3125,Use cutting to control problematic large trees/shrubs: freshwater swamps,No evidence found (no assessment)
3126,Use cutting/mowing to control problematic herbaceous plants,Unknown effectiveness (limited evidence)
3127,Use cutting/mowing to control problematic herbaceous plants: brackish/saline swamps,No evidence found (no assessment)
3128,Use cutting/mowing to control problematic herbaceous plants: brackish/salt marshes,Unknown effectiveness (limited evidence)
3129,Use cutting/mowing to control problematic herbaceous plants: freshwater marshes,Likely to be beneficial
3130,Use cutting/mowing to control problematic herbaceous plants: freshwater swamps,Unknown effectiveness (limited evidence)
3131,Use cutting/mowing to mimic grazing,Unknown effectiveness (limited evidence)
3132,Use decoys to attract birds to safe areas,Likely to be beneficial
3133,Use deterrents to reduce predation on marine and freshwater mammals by native species,Unknown effectiveness (limited evidence)
3134,Use different bait species for fishing that are less attractive to mammals,No evidence found (no assessment)
3135,Use different bait species in traps,Unknown effectiveness (limited evidence)
3136,Use different planting or seeding methods,Unlikely to be beneficial
3137,Use differently-coloured artificial nests,Unknown effectiveness (limited evidence)
3138,Use dogs to guard crops to reduce human-wildlife conflict,Unknown effectiveness (limited evidence)
3139,Use double hulls to prevent oil spills,No evidence found (no assessment)
3140,Use double hulls to prevent oil spills,No evidence found (no assessment)
3141,Use drones to deter crop damage by mammals to reduce human-wildlife conflict,Unknown effectiveness (limited evidence)
3142,Use drugs to treat parasites,Likely to be beneficial
3143,Use drugs to treat parasites,Likely to be beneficial
3144,Use dyed bait,Awaiting assessment
3145,Use education and/or awareness campaigns to improve behaviour towards reptiles and reduce threats,Awaiting assessment
3146,Use education programmes and local engagement to help reduce persecution or exploitation of species,Unknown effectiveness (limited evidence)
3147,Use electric fencing to deter mammals from energy installations or mines,No evidence found (no assessment)
3148,Use electric fencing to exclude fish-eating birds,Likely to be beneficial
3149,Use electric fencing to exclude large native herbivores,Unknown effectiveness (limited evidence)
3150,Use environmentally sensitive flood management,Unknown effectiveness (limited evidence)
3151,Use environmentally-sensitive material on intertidal artificial structures,Awaiting assessment
3152,Use environmentally-sensitive material on subtidal artificial structures,Awaiting assessment
3153,Use erosion blanket after seeding/planting,Evidence not assessed
3154,Use erosion blankets/mats to aid plant establishment,Unknown effectiveness (limited evidence)
3155,Use exclusion nets,Awaiting assessment
3156,Use false brood parasite eggs to discourage brood parasitism,Unknown effectiveness (limited evidence)
3157,Use fences as biological corridors for primates,No evidence found (no assessment)
3158,Use fences or barriers to protect brackish/saline wetlands planted with non-woody plants,No evidence found (no assessment)
3159,Use fences or barriers to protect freshwater wetlands planted with non-woody plants,Likely to be beneficial
3160,Use fences or barriers to protect freshwater wetlands planted with trees/shrubs,Likely to be beneficial
3161,Use fences or barriers to protect planted brackish/saline wetlands planted with trees/shrubs,Unknown effectiveness (limited evidence)
3162,Use fences or barriers to protect planted vegetation,No evidence found (no assessment)
3163,Use fences to exclude large herbivores,Unknown effectiveness (limited evidence)
3164,Use fences to exclude livestock from shrublands,Likely to be beneficial
3165,Use fencing to enclose large herbivores (e.g. deer),No evidence found (no assessment)
3166,Use fencing to exclude grazers or other problematic species,Likely to be beneficial
3167,Use fencing to exclude predators or other problematic species,Likely to be beneficial
3168,Use fencing to prevent reptiles from accessing facilities,No evidence found (no assessment)
3169,Use fencing to protect water sources for use by wild mammals,No evidence found (no assessment)
3170,Use fencing/netting to reduce predation of fish stock by mammals to reduce human-wildlife conflict,No evidence found (no assessment)
3171,Use fertilizer,Trade-off between benefit and harms
3172,Use fertilizer after tree planting,Unlikely to be beneficial
3173,Use fire suppression/control,Unknown effectiveness (limited evidence)
3174,Use fire to deter crop damage by mammals to reduce human-wildlife conflict,Likely to be beneficial
3175,Use flags to reduce predation of livestock by mammals to reduce human-wildlife conflict,Likely to be beneficial
3176,Use flags to signal the legal nationality of a fishing vessel,Awaiting assessment
3177,Use flashing lights to reduce mortality from artificial lights,Unknown effectiveness (limited evidence)
3178,Use flotation devices to support planted vegetation,No evidence found (no assessment)
3179,Use genetically modified alternatives,Awaiting assessment
3180,Use glazing treatments to reduce light spill from inside lit buildings,No evidence found (no assessment)
3181,Use gloves to handle amphibians,Unknown effectiveness (limited evidence)
3182,Use GPS and/or VHF tracking devices on individuals of problem troops to provide farmers with early warning of crop raiding,No evidence found (no assessment)
3183,Use grazing instead of cutting for pasture or grassland management,Likely to be ineffective or harmful
3184,Use grazing or alter livestock to control grass,Unknown effectiveness (limited evidence)
3185,Use grazing to control problematic plants,No evidence found (no assessment)
3186,Use grazing to control problematic plants: brackish/saline swamps,No evidence found (no assessment)
3187,Use grazing to control problematic plants: brackish/salt marshes,No evidence found (no assessment)
3188,Use grazing to control problematic plants: freshwater marshes,Likely to be beneficial
3189,Use grazing to control problematic plants: freshwater swamps,No evidence found (no assessment)
3190,Use grazing to control trees,Unknown effectiveness (limited evidence)
3191,Use grazing to maintain or restore disturbance,Trade-off between benefit and harms
3192,Use grazing to maintain or restore disturbance: brackish/saline swamps,No evidence found (no assessment)
3193,Use grazing to maintain or restore disturbance: brackish/salt marshes,Likely to be beneficial
3194,Use grazing to maintain or restore disturbance: freshwater marshes,Likely to be beneficial
3195,Use grazing to maintain or restore disturbance: freshwater swamps,No evidence found (no assessment)
3196,Use grazing to remove invasive plant species,No evidence found (no assessment)
3197,Use green engineering techniques on artificial structures - Cover subsea cables with artificial reefs,No evidence found (no assessment)
3198,Use green engineering techniques on artificial structures - Cover subsea cables with materials that encourage the accumulation of natural sediments,No evidence found (no assessment)
3199,Use green engineering techniques on artificial structures - Modify rock dump to make it more similar to natural substrate,No evidence found (no assessment)
3200,Use greentree reservoir management,Unknown effectiveness (limited evidence)
3201,Use group-selection harvesting,Trade-off between benefit and harms
3202,"Use guardian animals (e.g. dogs, llamas, donkeys) bonded to livestock to deter predators to reduce human-wildlife conflict",Beneficial
3203,Use herbicide and grazing to control bracken,No evidence found (no assessment)
3204,Use herbicide and prescribed burning to control grass,Unknown effectiveness (limited evidence)
3205,Use herbicide and remove leaf litter to control bracken,Unknown effectiveness (limited evidence)
3206,Use herbicide and sow seed of shrubland plants to control bracken,No evidence found (no assessment)
3207,Use herbicide to control bracken,Unknown effectiveness (limited evidence)
3208,Use herbicide to control grass,Unlikely to be beneficial
3209,Use herbicide to control problematic plants,Unknown effectiveness (limited evidence)
3210,Use herbicide to control problematic plants: brackish/saline swamps,No evidence found (no assessment)
3211,Use herbicide to control problematic plants: brackish/salt marshes,Trade-off between benefit and harms
3212,Use herbicide to control problematic plants: freshwater marshes,Trade-off between benefit and harms
3213,Use herbicide to control problematic plants: freshwater swamps,Trade-off between benefit and harms
3214,Use herbicide to maintain or restore disturbance: brackish/saline swamps,No evidence found (no assessment)
3215,Use herbicide to maintain or restore disturbance: brackish/salt marshes,No evidence found (no assessment)
3216,Use herbicide to maintain or restore disturbance: freshwater marshes,Unknown effectiveness (limited evidence)
3217,Use herbicide to maintain or restore disturbance: freshwater swamps,Unknown effectiveness (limited evidence)
3218,Use herbicides after tree planting,Unlikely to be beneficial
3219,Use herbicides to control invasive plant species,Unknown effectiveness (limited evidence)
3220,Use herbicides to control mid-storey or ground vegetation,Likely to be ineffective or harmful
3221,Use herbicides to remove invasive plant species,Unknown effectiveness (limited evidence)
3222,Use herbicides to remove understory vegetation to reduce wildfires,No evidence found (no assessment)
3223,Use herbicides to thin trees,Unknown effectiveness (limited evidence)
3224,Use high-visibility longlines to reduce seabird bycatch,No evidence found (no assessment)
3225,Use high-visibility mesh on gillnets to reduce seabird bycatch,Unknown effectiveness (limited evidence)
3226,Use holding pens at release site prior to release of captive-bred mammals,Beneficial
3227,Use holding pens at release site prior to release of translocated mammals,Likely to be beneficial
3228,Use holding pens at release sites,Unknown effectiveness (limited evidence)
3229,Use holding pens or enclosures at release site prior to release of captive-bred reptiles,Awaiting assessment
3230,Use holding pens or enclosures at release site prior to release of wild reptiles,Awaiting assessment
3231,Use hook and line fishing instead of other commercial fishing methods,Awaiting assessment
